12/04/2014,http://www.data.gouv.fr/fr/dataset/aides-percues-par-les-personnes-morales-au-titre-de-la-politique-agricole-commune,/aides-percues-par-les-personnes-morales-au-titre-de-la-politique-agricole-commune,1452,9,0%,,20%,,145,,1452,2,0.714
13/04/2014,http://www.data.gouv.fr/fr/dataset/aides-percues-par-les-personnes-morales-au-titre-de-la-politique-agricole-commune,/aides-percues-par-les-personnes-morales-au-titre-de-la-politique-agricole-commune,946,9,0%,,33%,30,105,1,946,3,1.032
14/04/2014,http://www.data.gouv.fr/fr/dataset/aides-percues-par-les-personnes-morales-au-titre-de-la-politique-agricole-commune,/aides-percues-par-les-personnes-morales-au-titre-de-la-politique-agricole-commune,2131,14,0%,3,36%,,152,,2131,5,1.426
12/04/2014,http://www.data.gouv.fr/fr/dataset/allocataires-de-la-prestation-de-compensation-du-handicap-pch-et-de-l-allocation-compensatr-30378326,/allocataires-de-la-prestation-de-compensation-du-handicap-pch-et-de-l-allocation-compensatr-30378326,286,2,0%,,0%,,143,,286,,0.254
04/04/2014,http://www.data.gouv.fr/fr/dataset/allocataires-du-rsa-30378531,/allocataires-du-rsa-30378531,781,8,0%,2,13%,1186,98,2,781,1,0.572
08/04/2014,http://www.data.gouv.fr/fr/dataset/allocataires-du-rsa-30378531,/allocataires-du-rsa-30378531,216,8,0%,,25%,,27,,216,2,0.343
13/04/2014,http://www.data.gouv.fr/fr/dataset/allocataires-du-rsa-30378531,/allocataires-du-rsa-30378531,8,2,100%,,67%,0,3,1,8,2,0.469
06/04/2014,http://www.data.gouv.fr/fr/dataset/annuaire-des-associations,/annuaire-des-associations,683,2,0%,2,0%,,342,,683,,1.17
11/04/2014,http://www.data.gouv.fr/fr/dataset/annuaire-des-associations,/annuaire-des-associations,606,3,0%,2,0%,,202,,606,,0.313
09/04/2014,http://www.data.gouv.fr/fr/dataset/api-temps-reel-de-la-tan-laod,/api-temps-reel-de-la-tan-laod,114,3,33%,,67%,123,38,3,114,2,0.329
12/04/2014,http://www.data.gouv.fr/fr/dataset/arretes-municipaux-d-insalubrite-prs,/arretes-municipaux-d-insalubrite-prs,77,3,33%,,50%,84,19,2,77,2,0.276
04/04/2014,http://www.data.gouv.fr/fr/dataset/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,/artisans-nombre-d-entreprises-chiffre-d-affaires-et-valeur-ajoutee,181,8,50%,,63%,388,23,8,181,5,2.181
